,contact_cost,joint_limits_cost,object_cost,pose_cost,power_cost,reach_cost,reg_cost,self_collision_cost
102,0.0,0.0,0.0,160.343327687014,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,159.41651477341318,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,158.47771702075272,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,157.53884768606622,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,156.58628091457646,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,155.63531592660942,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,154.68774729940756,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,153.73896336117534,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,152.78143119880056,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,151.8317895753819,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,150.872336133473,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,149.90639955294415,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,148.9538531718127,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,148.0000165099372,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,147.04239600496246,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,146.09041854602611,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,145.13326659961507,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,144.1729558212387,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,143.2011961834575,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,142.21921817389108,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,141.23277875509424,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,140.24481504854444,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,139.26074296231064,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,138.28433238581488,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,137.31102778422462,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,136.34075704982553,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,135.37987673939674,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,134.43104949853944,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,133.4830515533298,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,132.54175968631574,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,131.59592326767006,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,130.6520369498032,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,129.7168602210915,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,128.78806131721478,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,127.86783030497341,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,126.95892900661693,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,126.0749667117107,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,125.20245879642508,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,124.34068822816488,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,123.49692782687605,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,122.65444517843285,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,121.8170736767708,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,120.98542313187089,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,120.1617359070714,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,119.34357053797655,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,118.53285996803885,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,117.73727716409168,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,116.95065375506339,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,116.15450584581454,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,115.35254769227944,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,114.55607449099443,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,113.7631992708586,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,112.97076342812193,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,112.18009843660333,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,111.39691853780698,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,110.62505776501723,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,109.86077592675585,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,109.10864689047645,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,108.35494765887032,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,107.601468045604,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,106.8417651089334,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,106.08616342100859,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,105.33865824349652,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,104.59713394399876,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,103.86612203249592,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,103.14170017526207,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,102.42829031440229,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,101.7217029708834,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,101.01394099505367,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,100.30924177037045,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,99.60369325355057,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,98.906064466911,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,98.2153014150538,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,97.53661119988834,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,96.86146220395545,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,96.18065623569464,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,95.50652785424573,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,94.83284320389984,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,94.1593440437708,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,93.48621579216004,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,92.82315288956553,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,92.162807077542,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,91.4947040036867,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,90.82261748220125,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,90.15212781599587,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,89.491546184173,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,88.83149167872966,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,88.16385641733851,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,87.49132638687398,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,86.81950828749837,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,86.1544275657855,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,85.49032054452839,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,84.83363061857347,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,84.17616445791835,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,83.5173931741169,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,82.85796489499401,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,82.20912840544068,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,81.57257455043305,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,80.94695659169079,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,80.32804595764173,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,79.70715137498487,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,79.07617431387996,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,78.44666471771068,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,77.818275253508,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,77.19186663365161,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,76.57079252048302,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,75.9610455302098,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,75.35642325085021,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,74.75229974650216,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,74.1537714829757,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,73.5569646324789,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,72.96346933797815,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,72.37576383932654,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,71.79365599597733,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,71.21865770689482,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,70.64281999034756,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,70.06192525205398,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,69.48292290567113,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,68.91351467092362,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,68.34791914644707,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,67.78990631803086,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,67.23132480970807,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,66.67025540648467,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,66.10829839169169,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,65.55066203519252,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,65.00516847882213,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,64.46958703444287,0.0,0.0,0.0,0.0
229,0.0,0.0,0.0,63.94655655815841,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,63.43681021234838,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,62.92686375423939,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,62.422688737484194,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,61.925019652435026,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,61.43045608621401,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,60.93542748933267,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,60.44657870711863,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,59.97031825198698,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,59.497663372638605,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,59.019478089888196,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,58.536840224585305,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,58.06139459458246,0.0,0.0,0.0,0.0
